,1,0.5,0.2
0,3-4,3.5-3.9,3.6-3.7
1,4-5,4.0-4.4,4.2-4.3
2,4-5,4.0-4.4,4.2-4.3
3,4-5,4.5-4.9,4.6-4.7
4,4-5,4.0-4.4,4.4-4.5
5,4-5,4.0-4.4,4.2-4.3
6,4-5,4.5-4.9,4.4-4.5
7,4-5,4.0-4.4,4.2-4.3
8,4-5,4.0-4.4,4.2-4.3
9,4-5,4.0-4.4,4.0-4.1
10,4-5,4.0-4.4,4.4-4.5
11,4-5,4.0-4.4,4.2-4.3
12,4-5,4.0-4.4,4.0-4.1
13,4-5,4.5-4.9,4.4-4.5
14,4-5,4.5-4.9,4.4-4.5
15,4-5,4.5-4.9,4.4-4.5
16,4-5,4.5-4.9,4.6-4.7
17,4-5,4.0-4.4,4.2-4.3
18,4-5,4.0-4.4,4.2-4.3
19,4-5,4.5-4.9,4.4-4.5
20,4-5,4.0-4.4,4.4-4.5
21,4-5,4.0-4.4,4.4-4.5
22,4-5,4.5-4.9,4.4-4.5
23,4-5,4.5-4.9,4.6-4.7
24,4-5,4.0-4.4,4.2-4.3
25,4-5,4.0-4.4,4.4-4.5
26,4-5,4.5-4.9,4.6-4.7
27,4-5,4.5-4.9,4.4-4.5
28,4-5,4.5-4.9,4.6-4.7
29,3-4,3.5-3.9,3.6-3.7
30,4-5,4.0-4.4,4.4-4.5
31,4-5,4.5-4.9,4.4-4.5
32,3-4,3.5-3.9,3.6-3.7
33,4-5,4.5-5.0,4.8-5.0
34,3-4,3.5-3.9,3.4-3.5
35,4-5,4.0-4.4,4.0-4.1
36,3-4,3.0-3.4,3.0-3.1
37,3-4,3.5-3.9,3.6-3.7
38,4-5,4.5-4.9,4.6-4.7
39,3-4,3.5-3.9,3.8-3.9
40,3-4,3.0-3.4,3.2-3.3
41,4-5,4.5-4.9,4.4-4.5
42,3-4,3.0-3.4,3.2-3.3
43,4-5,4.0-4.4,4.2-4.3
44,4-5,4.0-4.4,4.4-4.5
45,4-5,4.0-4.4,4.0-4.1
46,4-5,4.0-4.4,4.2-4.3
47,3-4,3.5-3.9,3.6-3.7
48,4-5,4.5-4.9,4.4-4.5
49,4-5,4.5-4.9,4.6-4.7
50,4-5,4.5-5.0,4.8-5.0
51,3-4,3.0-3.4,3.0-3.1
52,4-5,4.0-4.4,4.4-4.5
53,4-5,4.0-4.4,4.0-4.1
54,3-4,3.5-3.9,3.4-3.5
55,4-5,4.0-4.4,4.2-4.3
56,4-5,4.0-4.4,4.2-4.3
57,4-5,4.5-4.9,4.4-4.5
58,3-4,3.5-3.9,3.8-3.9
59,3-4,3.0-3.4,3.0-3.1
60,4-5,4.0-4.4,4.2-4.3
61,4-5,4.5-4.9,4.4-4.5
62,3-4,3.5-3.9,3.6-3.7
63,4-5,4.5-4.9,4.4-4.5
64,4-5,4.5-4.9,4.6-4.7
65,4-5,4.5-4.9,4.4-4.5
66,4-5,4.0-4.4,4.0-4.1
67,3-4,3.5-3.9,3.8-3.9
68,4-5,4.0-4.4,4.4-4.5
69,3-4,3.5-3.9,3.8-3.9
70,4-5,4.5-5.0,4.8-5.0
71,4-5,4.5-4.9,4.4-4.5
72,3-4,3.5-3.9,3.6-3.7
73,4-5,4.5-4.9,4.6-4.7
74,4-5,4.0-4.4,4.0-4.1
75,3-4,3.5-3.9,3.8-3.9
76,4-5,4.5-4.9,4.6-4.7
77,4-5,4.0-4.4,4.0-4.1
78,4-5,4.0-4.4,4.2-4.3
79,4-5,4.0-4.4,4.4-4.5
80,4-5,4.0-4.4,4.0-4.1
81,4-5,4.5-5.0,4.8-5.0
82,4-5,4.0-4.4,4.0-4.1
83,3-4,3.5-3.9,3.6-3.7
84,4-5,4.0-4.4,4.2-4.3
85,3-4,3.0-3.4,3.2-3.3
86,3-4,3.5-3.9,3.4-3.5
87,3-4,3.5-3.9,3.4-3.5
88,4-5,4.5-4.9,4.4-4.5
89,4-5,4.0-4.4,4.0-4.1
90,4-5,4.5-4.9,4.4-4.5
91,4-5,4.0-4.4,4.4-4.5
92,4-5,4.0-4.4,4.2-4.3
93,4-5,4.0-4.4,4.2-4.3
94,3-4,3.5-3.9,3.8-3.9
95,4-5,4.5-4.9,4.4-4.5
96,4-5,4.0-4.4,4.0-4.1
97,4-5,4.0-4.4,4.4-4.5
98,4-5,4.0-4.4,4.0-4.1
99,4-5,4.0-4.4,4.0-4.1
100,4-5,4.0-4.4,4.0-4.1
101,3-4,3.5-3.9,3.6-3.7
102,3-4,3.5-3.9,3.6-3.7
103,4-5,4.5-4.9,4.4-4.5
104,4-5,4.0-4.4,4.2-4.3
105,2-3,2.5-2.9,2.4-2.5
106,4-5,4.0-4.4,4.0-4.1
107,3-4,3.0-3.4,3.2-3.3
108,4-5,4.0-4.4,4.0-4.1
109,4-5,4.5-4.9,4.4-4.5
110,4-5,4.5-4.9,4.4-4.5
111,3-4,3.0-3.4,3.2-3.3
112,4-5,4.5-4.9,4.6-4.7
113,4-5,4.0-4.4,4.2-4.3
114,4-5,4.0-4.4,4.0-4.1
115,4-5,4.0-4.4,4.4-4.5
116,4-5,4.5-4.9,4.6-4.7
117,4-5,4.0-4.4,4.2-4.3
118,4-5,4.0-4.4,4.4-4.5
119,4-5,4.0-4.4,4.4-4.5
120,4-5,4.0-4.4,4.0-4.1
121,4-5,4.0-4.4,4.2-4.3
122,4-5,4.5-4.9,4.4-4.5
123,4-5,4.0-4.4,4.2-4.3
124,1-2,1.5-1.9,1.6-1.7
125,4-5,4.0-4.4,4.2-4.3
126,4-5,4.0-4.4,4.2-4.3
127,4-5,4.0-4.4,4.0-4.1
128,4-5,4.5-4.9,4.4-4.5
129,4-5,4.0-4.4,4.2-4.3
130,2-3,2.0-2.4,2.2-2.3
131,3-4,3.0-3.4,3.0-3.1
132,3-4,3.0-3.4,3.2-3.3
133,4-5,4.0-4.4,4.4-4.5
134,4-5,4.0-4.4,4.2-4.3
135,4-5,4.0-4.4,4.2-4.3
136,4-5,4.0-4.4,4.2-4.3
137,3-4,3.5-3.9,3.6-3.7
138,4-5,4.5-4.9,4.4-4.5
139,4-5,4.0-4.4,4.4-4.5
