,1,0.5,0.2
0,4-5,4.0-4.4,4.0-4.1
1,4-5,4.5-4.9,4.6-4.7
2,4-5,4.0-4.4,4.4-4.5
3,3-4,3.5-3.9,3.6-3.7
4,4-5,4.0-4.4,4.0-4.1
5,4-5,4.5-4.9,4.4-4.5
6,3-4,3.0-3.4,3.0-3.1
7,4-5,4.0-4.4,4.0-4.1
8,4-5,4.0-4.4,4.0-4.1
9,4-5,4.5-4.9,4.4-4.5
10,4-5,4.5-4.9,4.4-4.5
11,4-5,4.0-4.4,4.2-4.3
12,4-5,4.0-4.4,4.2-4.3
13,4-5,4.5-4.9,4.4-4.5
14,4-5,4.5-4.9,4.4-4.5
15,4-5,4.0-4.4,4.2-4.3
16,3-4,3.5-3.9,3.8-3.9
17,4-5,4.0-4.4,4.0-4.1
18,4-5,4.0-4.4,4.4-4.5
19,4-5,4.0-4.4,4.0-4.1
20,4-5,4.5-4.9,4.6-4.7
21,4-5,4.5-4.9,4.4-4.5
22,4-5,4.5-4.9,4.6-4.7
23,4-5,4.5-4.9,4.6-4.7
24,4-5,4.0-4.4,4.0-4.1
25,3-4,3.0-3.4,3.2-3.3
26,4-5,4.5-4.9,4.4-4.5
27,4-5,4.5-4.9,4.4-4.5
28,3-4,3.5-3.9,3.8-3.9
29,4-5,4.5-4.9,4.8-4.9
30,4-5,4.5-4.9,4.4-4.5
31,4-5,4.0-4.4,4.4-4.5
32,3-4,3.0-3.4,3.2-3.3
33,3-4,3.5-3.9,3.6-3.7
34,4-5,4.5-4.9,4.4-4.5
35,4-5,4.0-4.4,4.4-4.5
36,4-5,4.0-4.4,4.2-4.3
37,4-5,4.0-4.4,4.0-4.1
38,3-4,3.5-3.9,3.8-3.9
39,4-5,4.5-4.9,4.4-4.5
40,4-5,4.0-4.4,4.2-4.3
41,4-5,4.0-4.4,4.2-4.3
42,3-4,3.5-3.9,3.6-3.7
43,4-5,4.5-4.9,4.4-4.5
44,3-4,3.5-3.9,3.8-3.9
45,4-5,4.0-4.4,4.0-4.1
46,4-5,4.0-4.4,4.4-4.5
47,4-5,4.5-4.9,4.6-4.7
48,4-5,4.5-4.9,4.4-4.5
49,4-5,4.0-4.4,4.2-4.3
50,3-4,3.5-3.9,3.6-3.7
51,4-5,4.5-5.0,4.8-5.0
52,4-5,4.5-5.0,4.8-5.0
53,4-5,4.0-4.4,4.2-4.3
54,4-5,4.0-4.4,4.0-4.1
55,4-5,4.5-4.9,4.4-4.5
56,4-5,4.0-4.4,4.0-4.1
57,4-5,4.5-4.9,4.4-4.5
58,4-5,4.5-4.9,4.4-4.5
59,4-5,4.0-4.4,4.2-4.3
60,3-4,3.5-3.9,3.6-3.7
61,4-5,4.0-4.4,4.2-4.3
62,4-5,4.0-4.4,4.2-4.3
63,3-4,3.0-3.4,3.0-3.1
64,3-4,3.0-3.4,3.0-3.1
65,4-5,4.0-4.4,4.0-4.1
66,4-5,4.0-4.4,4.2-4.3
67,4-5,4.5-5.0,4.8-5.0
68,4-5,4.5-4.9,4.8-4.9
69,3-4,3.5-3.9,3.6-3.7
70,4-5,4.5-4.9,4.4-4.5
71,4-5,4.0-4.4,4.2-4.3
72,4-5,4.5-4.9,4.4-4.5
73,4-5,4.0-4.4,4.2-4.3
74,4-5,4.0-4.4,4.0-4.1
75,4-5,4.5-4.9,4.4-4.5
76,4-5,4.0-4.4,4.2-4.3
77,4-5,4.0-4.4,4.2-4.3
78,3-4,3.5-3.9,3.8-3.9
79,3-4,3.5-3.9,3.8-3.9
80,4-5,4.5-4.9,4.4-4.5
81,4-5,4.0-4.4,4.0-4.1
82,4-5,4.0-4.4,4.0-4.1
83,4-5,4.5-4.9,4.4-4.5
84,4-5,4.5-4.9,4.6-4.7
85,4-5,4.5-4.9,4.4-4.5
86,4-5,4.0-4.4,4.0-4.1
87,4-5,4.0-4.4,4.2-4.3
88,4-5,4.5-4.9,4.4-4.5
89,4-5,4.0-4.4,4.2-4.3
90,3-4,3.5-3.9,3.4-3.5
91,4-5,4.0-4.4,4.0-4.1
92,4-5,4.5-5.0,4.8-5.0
93,4-5,4.0-4.4,4.0-4.1
94,4-5,4.5-4.9,4.4-4.5
95,3-4,3.5-3.9,3.8-3.9
96,4-5,4.5-4.9,4.4-4.5
97,4-5,4.0-4.4,4.2-4.3
98,4-5,4.0-4.4,4.0-4.1
99,4-5,4.0-4.4,4.4-4.5
100,4-5,4.0-4.4,4.2-4.3
101,4-5,4.0-4.4,4.2-4.3
102,4-5,4.0-4.4,4.2-4.3
103,4-5,4.5-4.9,4.4-4.5
104,4-5,4.0-4.4,4.4-4.5
105,4-5,4.0-4.4,4.2-4.3
106,4-5,4.0-4.4,4.4-4.5
107,4-5,4.0-4.4,4.4-4.5
108,3-4,3.5-3.9,3.8-3.9
109,4-5,4.0-4.4,4.4-4.5
110,4-5,4.5-4.9,4.4-4.5
111,4-5,4.0-4.4,4.0-4.1
112,3-4,3.5-3.9,3.6-3.7
113,4-5,4.0-4.4,4.2-4.3
114,4-5,4.0-4.4,4.2-4.3
115,4-5,4.0-4.4,4.0-4.1
116,4-5,4.0-4.4,4.2-4.3
117,3-4,3.0-3.4,3.2-3.3
118,4-5,4.0-4.4,4.2-4.3
119,4-5,4.5-4.9,4.4-4.5
120,4-5,4.0-4.4,4.0-4.1
121,4-5,4.0-4.4,4.2-4.3
122,4-5,4.5-4.9,4.4-4.5
123,3-4,3.5-3.9,3.6-3.7
124,4-5,4.0-4.4,4.4-4.5
125,4-5,4.5-4.9,4.4-4.5
126,4-5,4.0-4.4,4.4-4.5
127,4-5,4.5-5.0,4.8-5.0
128,4-5,4.0-4.4,4.2-4.3
129,4-5,4.0-4.4,4.4-4.5
130,4-5,4.0-4.4,4.2-4.3
131,4-5,4.0-4.4,4.0-4.1
132,2-3,2.5-2.9,2.8-2.9
133,4-5,4.5-4.9,4.4-4.5
134,4-5,4.5-5.0,4.8-5.0
135,4-5,4.5-4.9,4.4-4.5
136,4-5,4.0-4.4,4.0-4.1
137,4-5,4.5-4.9,4.4-4.5
138,4-5,4.5-4.9,4.4-4.5
