,1,0.5,0.2
0,4-5,4.0-4.4,4.2-4.3
1,4-5,4.5-4.9,4.6-4.7
2,4-5,4.0-4.4,4.4-4.5
3,3-4,3.5-3.9,3.4-3.5
4,4-5,4.5-4.9,4.4-4.5
5,4-5,4.0-4.4,4.4-4.5
6,4-5,4.0-4.4,4.2-4.3
7,4-5,4.5-4.9,4.4-4.5
8,4-5,4.0-4.4,4.2-4.3
9,3-4,3.0-3.4,3.2-3.3
10,3-4,3.0-3.4,3.2-3.3
11,4-5,4.5-4.9,4.4-4.5
12,4-5,4.5-4.9,4.6-4.7
13,3-4,3.5-3.9,3.6-3.7
14,4-5,4.0-4.4,4.2-4.3
15,4-5,4.0-4.4,4.2-4.3
16,4-5,4.5-4.9,4.4-4.5
17,3-4,3.5-3.9,3.6-3.7
18,4-5,4.0-4.4,4.4-4.5
19,4-5,4.0-4.4,4.2-4.3
20,3-4,3.5-3.9,3.6-3.7
21,4-5,4.5-4.9,4.6-4.7
22,4-5,4.0-4.4,4.2-4.3
23,4-5,4.0-4.4,4.2-4.3
24,4-5,4.0-4.4,4.2-4.3
25,4-5,4.0-4.4,4.0-4.1
26,3-4,3.5-3.9,3.6-3.7
27,3-4,3.0-3.4,3.0-3.1
28,4-5,4.0-4.4,4.2-4.3
29,4-5,4.5-4.9,4.4-4.5
30,4-5,4.0-4.4,4.4-4.5
31,4-5,4.5-4.9,4.4-4.5
32,4-5,4.0-4.4,4.4-4.5
33,4-5,4.5-4.9,4.4-4.5
34,4-5,4.0-4.4,4.2-4.3
35,3-4,3.5-3.9,3.6-3.7
36,4-5,4.0-4.4,4.2-4.3
37,4-5,4.0-4.4,4.2-4.3
38,4-5,4.0-4.4,4.0-4.1
39,4-5,4.5-4.9,4.4-4.5
40,4-5,4.5-4.9,4.6-4.7
41,3-4,3.5-3.9,3.8-3.9
42,4-5,4.0-4.4,4.0-4.1
43,4-5,4.5-4.9,4.6-4.7
44,4-5,4.0-4.4,4.2-4.3
45,4-5,4.0-4.4,4.4-4.5
46,4-5,4.0-4.4,4.4-4.5
47,4-5,4.5-4.9,4.4-4.5
48,4-5,4.0-4.4,4.0-4.1
49,4-5,4.0-4.4,4.2-4.3
50,4-5,4.0-4.4,4.0-4.1
51,4-5,4.5-4.9,4.8-4.9
52,4-5,4.0-4.4,4.0-4.1
53,4-5,4.5-4.9,4.4-4.5
54,3-4,3.0-3.4,3.2-3.3
55,4-5,4.0-4.4,4.4-4.5
56,4-5,4.0-4.4,4.4-4.5
57,4-5,4.5-5.0,4.8-5.0
58,3-4,3.5-3.9,3.4-3.5
59,4-5,4.0-4.4,4.2-4.3
60,4-5,4.0-4.4,4.0-4.1
61,4-5,4.5-4.9,4.4-4.5
62,4-5,4.0-4.4,4.2-4.3
63,4-5,4.0-4.4,4.4-4.5
64,4-5,4.0-4.4,4.0-4.1
65,4-5,4.0-4.4,4.2-4.3
66,4-5,4.0-4.4,4.0-4.1
67,4-5,4.5-4.9,4.4-4.5
68,4-5,4.5-4.9,4.4-4.5
69,4-5,4.5-4.9,4.4-4.5
70,4-5,4.0-4.4,4.2-4.3
71,4-5,4.0-4.4,4.2-4.3
72,3-4,3.5-3.9,3.8-3.9
73,4-5,4.0-4.4,4.2-4.3
74,4-5,4.5-4.9,4.6-4.7
75,4-5,4.5-4.9,4.4-4.5
76,4-5,4.5-4.9,4.4-4.5
77,4-5,4.5-5.0,4.8-5.0
78,4-5,4.0-4.4,4.0-4.1
79,4-5,4.0-4.4,4.0-4.1
80,4-5,4.0-4.4,4.2-4.3
81,4-5,4.0-4.4,4.2-4.3
82,4-5,4.0-4.4,4.2-4.3
83,4-5,4.0-4.4,4.2-4.3
84,3-4,3.5-3.9,3.4-3.5
85,4-5,4.0-4.4,4.2-4.3
86,4-5,4.5-4.9,4.4-4.5
87,4-5,4.0-4.4,4.0-4.1
88,4-5,4.5-4.9,4.4-4.5
89,4-5,4.5-4.9,4.4-4.5
90,4-5,4.0-4.4,4.4-4.5
91,4-5,4.0-4.4,4.2-4.3
92,4-5,4.5-4.9,4.4-4.5
93,4-5,4.0-4.4,4.4-4.5
94,4-5,4.5-5.0,4.8-5.0
95,4-5,4.0-4.4,4.2-4.3
96,4-5,4.0-4.4,4.2-4.3
97,4-5,4.0-4.4,4.2-4.3
98,4-5,4.0-4.4,4.4-4.5
99,3-4,3.5-3.9,3.6-3.7
100,3-4,3.5-3.9,3.4-3.5
101,4-5,4.0-4.4,4.2-4.3
102,4-5,4.5-4.9,4.4-4.5
103,4-5,4.5-4.9,4.4-4.5
104,4-5,4.0-4.4,4.0-4.1
105,4-5,4.0-4.4,4.2-4.3
106,4-5,4.5-4.9,4.4-4.5
107,3-4,3.5-3.9,3.8-3.9
108,4-5,4.0-4.4,4.0-4.1
109,3-4,3.5-3.9,3.8-3.9
110,4-5,4.0-4.4,4.2-4.3
111,4-5,4.0-4.4,4.4-4.5
112,4-5,4.0-4.4,4.4-4.5
113,4-5,4.5-4.9,4.4-4.5
114,4-5,4.0-4.4,4.2-4.3
115,4-5,4.5-4.9,4.4-4.5
116,3-4,3.0-3.4,3.2-3.3
117,3-4,3.0-3.4,3.2-3.3
118,4-5,4.0-4.4,4.2-4.3
119,4-5,4.0-4.4,4.2-4.3
120,4-5,4.5-4.9,4.6-4.7
121,4-5,4.5-4.9,4.4-4.5
122,4-5,4.5-4.9,4.4-4.5
123,3-4,3.5-3.9,3.6-3.7
124,4-5,4.0-4.4,4.2-4.3
125,4-5,4.5-4.9,4.4-4.5
126,4-5,4.0-4.4,4.2-4.3
127,3-4,3.5-3.9,3.6-3.7
128,4-5,4.5-4.9,4.6-4.7
129,3-4,3.0-3.4,3.0-3.1
130,4-5,4.0-4.4,4.0-4.1
131,3-4,3.5-3.9,3.6-3.7
132,3-4,3.0-3.4,3.0-3.1
133,4-5,4.0-4.4,4.2-4.3
134,3-4,3.5-3.9,3.6-3.7
135,4-5,4.5-4.9,4.6-4.7
