,numerical
6510,4.4
762,4.2
2252,4.0
2654,4.3
1945,4.7
1437,4.3
808,4.2
2664,4.7
4800,4.0
6741,4.2
5559,4.4
1666,4.5
7372,4.3
2149,4.1
3114,4.5
2070,4.3
5940,4.2
727,4.3
5562,4.6
335,4.3
583,4.2
2370,4.5
2711,4.4
8917,3.6
5898,4.4
3351,4.4
8844,4.1
6068,3.9
7420,4.8
4060,4.2
7929,4.2
8763,4.3
8829,3.8
6107,3.0
3661,4.2
4421,4.2
4285,4.6
1789,4.4
22,4.7
4505,4.7
2122,4.1
1219,4.4
8830,4.0
3972,4.4
3497,4.3
4073,4.4
119,4.5
68,4.8
3511,4.2
3711,4.4
3339,4.6
7640,4.7
2306,4.3
4742,4.6
7799,3.9
3189,4.1
8040,4.5
7450,5.0
1704,4.4
2065,4.2
2838,3.9
6924,4.0
7576,3.6
1282,4.6
286,4.6
8048,4.5
3723,4.3
8539,4.1
7245,2.9
5505,4.1
2172,4.4
8029,4.5
1154,4.1
4152,4.2
1353,4.3
9326,4.1
6718,5.0
1645,4.3
845,4.5
7820,3.7
2178,4.3
343,4.4
202,4.4
4514,4.6
2567,4.1
1999,4.5
5327,3.7
1960,4.6
3683,4.3
3028,4.3
1508,4.7
4873,4.4
8716,4.8
4811,3.9
3598,4.4
9176,4.0
7852,4.1
6342,4.7
8835,4.1
1191,4.0
4306,2.7
6744,3.6
636,4.8
5717,4.2
6896,4.5
1794,4.6
204,4.1
2275,4.5
838,4.2
8039,4.0
3948,4.0
4096,4.6
4849,4.1
6220,4.3
2337,5.0
8198,3.4
5980,4.3
3110,4.3
3976,4.5
4693,3.3
509,3.8
4192,4.5
6075,4.4
9031,4.8
147,4.1
8325,4.8
7885,4.1
9144,4.2
8467,4.1
3151,4.3
3089,4.0
7972,4.2
3455,4.7
1571,4.4
426,4.4
7908,4.0
4272,4.0
2020,4.1
3840,4.3
4092,4.1
2241,3.0
3869,4.8
1199,4.6
381,4.2
7385,4.3
4313,4.1
3353,4.0
5777,4.7
3877,4.5
3671,4.2
9303,2.7
3292,4.6
5378,3.4
3302,4.3
7855,3.1
6564,3.8
1206,4.5
1240,4.6
6604,4.3
1109,4.6
6867,3.6
1005,4.2
545,4.0
1644,4.3
1026,4.6
2978,4.0
2179,3.4
6369,2.7
1188,4.0
4641,3.8
9352,3.8
2383,5.0
1859,4.3
852,4.1
1745,4.7
2672,4.5
9288,4.0
5975,3.7
9103,2.9
3769,4.6
1338,4.6
3273,4.1
8470,4.3
8773,2.9
9028,4.3
1547,4.4
4891,3.9
