,numerical
6860,3.8
9323,4.2
6355,4.3
9221,4.8
4547,4.4
2628,4.3
4742,4.6
1189,4.3
4572,4.2
8296,4.0
3990,4.4
2546,4.2
7359,4.0
3239,4.5
7833,4.6
2782,4.6
4760,4.7
5770,4.3
2976,4.3
2372,4.5
8674,4.4
1086,4.4
1026,4.6
275,4.7
5209,4.3
9268,4.4
9161,4.8
1210,4.6
2824,4.7
8408,3.8
4771,4.4
9089,4.5
1121,3.8
7597,5.0
549,3.5
4100,4.1
7408,3.0
8686,3.7
4124,4.8
6213,3.9
9223,3.3
2475,4.5
5478,3.3
2901,4.2
1310,4.4
763,4.0
8776,4.3
9316,3.6
3255,4.6
5538,4.7
4923,5.0
5451,3.0
1821,4.4
6716,4.0
7313,3.5
864,4.2
1702,4.3
9358,4.5
8409,3.9
6267,3.1
3927,4.2
9082,4.6
9175,3.8
1787,4.5
7953,4.7
1595,4.5
2409,4.0
842,3.9
2713,4.4
251,3.9
5139,5.0
8438,4.6
8978,3.8
1867,4.7
8028,4.1
7078,3.9
3463,4.8
7756,4.0
2847,4.3
2296,4.4
466,4.0
4893,5.0
5332,4.0
7927,3.7
1859,4.3
4938,3.3
4193,3.5
503,3.5
6401,4.5
2785,4.1
4905,4.5
919,4.4
3680,4.3
7553,4.2
932,3.9
1308,4.5
3852,4.0
1642,4.4
1386,4.0
7767,4.0
7852,4.1
6038,3.8
909,3.7
1229,4.6
2582,4.2
8852,2.5
2752,4.0
8205,3.3
245,4.0
5180,4.6
5024,4.6
556,3.3
5656,4.8
7933,4.3
1329,4.1
5125,4.4
795,4.8
3955,4.3
3422,4.4
6375,4.4
35,4.1
2277,4.2
5027,4.5
2148,4.2
6310,1.7
8856,4.3
1138,4.3
4614,4.0
8668,4.5
332,4.3
7110,2.3
2249,3.0
4005,3.4
1091,4.4
5475,4.2
5477,4.3
6412,4.2
5452,3.7
4566,4.5
3475,4.4
2172,4.4
8755,3.9
4518,4.2
2959,4.0
6095,3.4
9204,4.5
7740,4.4
4595,4.4
5594,3.3
1497,4.3
8943,3.3
2750,4.3
3068,4.2
4836,4.5
9079,4.5
3561,4.5
3774,4.3
1405,4.3
3921,3.6
8227,3.6
8092,4.2
9211,4.1
5179,4.3
9354,4.8
4523,4.5
7237,5.0
5026,4.7
3008,4.4
6183,3.1
7404,4.7
911,4.3
985,4.4
3505,4.8
5431,4.7
6509,4.3
7381,3.3
2821,4.2
7104,4.0
4735,4.4
7643,4.6
6765,4.0
5228,4.4
5766,2.4
6219,4.7
2076,4.1
95,4.0
4199,4.0
2223,4.8
7363,4.6
5291,4.5
103,4.3
4822,3.9
1081,4.3
488,4.1
3812,4.5
9122,4.6
9005,4.3
1019,4.2
7299,4.2
7779,4.4
8426,4.3
8086,1.7
8956,4.8
1501,4.2
481,4.3
234,4.1
8449,4.3
3712,4.2
602,1.0
8974,4.5
2012,4.6
7329,4.0
7963,3.1
