,numerical
1741,4.2
8808,4.7
8627,4.4
465,3.5
7739,4.6
8817,4.4
435,4.3
1286,4.5
3998,4.2
6120,3.4
8703,3.4
3548,4.5
104,4.7
2559,3.8
6678,4.3
3484,4.2
1664,4.5
3044,3.7
2293,4.4
179,4.3
6705,3.8
143,4.8
3609,4.3
4860,4.2
1376,4.3
8376,4.1
2373,3.7
4726,3.0
6167,4.2
4678,4.5
4934,4.4
2019,4.5
7849,4.4
3217,4.6
4378,4.3
860,3.8
2130,4.2
3147,4.3
475,4.1
2040,4.5
2586,4.7
5454,3.9
852,4.1
2543,4.7
5075,4.3
1137,4.4
3899,4.4
152,4.6
5949,4.0
1406,4.3
3078,4.1
4650,4.9
2176,4.0
5444,4.5
9116,3.2
3294,4.4
4816,4.4
5185,5.0
3133,3.5
3778,4.2
4849,4.1
1067,4.6
5201,4.3
5948,4.4
571,4.1
9132,4.3
7789,4.1
1569,4.5
6373,4.6
1338,4.6
1480,4.3
8190,4.2
8515,3.9
1551,4.2
7124,4.8
2889,4.6
5149,4.6
4972,5.0
5779,4.1
8469,4.1
1042,4.2
8024,4.2
3101,4.3
8194,4.2
1334,3.5
2603,4.2
6101,4.6
280,4.1
707,4.6
2967,4.5
3185,4.4
3141,4.3
8249,4.5
3483,4.4
605,5.0
7068,4.2
3028,4.3
4609,4.2
7484,4.4
5130,3.7
5636,3.5
3513,4.3
1892,4.5
7962,4.5
6203,4.0
6178,4.3
730,4.6
6810,3.9
5938,4.0
9314,3.9
3328,4.2
7089,4.4
8025,4.4
2573,4.5
4476,4.3
7229,4.5
8263,3.4
7803,3.2
3640,4.3
3814,4.3
1695,4.7
4591,4.5
4857,4.6
3571,3.8
3677,4.3
2935,4.5
6263,4.3
3615,3.6
636,4.8
4896,3.0
8463,4.0
1548,3.8
7879,3.1
7630,4.2
4127,3.7
5777,4.7
6749,4.4
4163,3.6
2240,3.5
3086,4.2
8932,4.4
2162,4.8
8980,3.9
3109,3.2
3896,4.5
5192,4.4
600,3.0
3746,4.4
6115,4.3
6648,4.0
3111,4.6
3728,3.9
7041,4.7
5604,4.3
6007,4.0
5934,4.4
6609,1.0
4916,4.6
8982,3.9
2691,4.5
6273,4.6
357,4.4
7999,4.5
