,numerical
1158,4.0
7404,4.7
531,4.4
9208,3.7
8404,4.1
3528,4.5
6382,3.1
3055,4.1
4222,4.1
4142,4.6
264,4.6
811,4.2
247,4.2
8446,4.5
692,4.5
1003,4.3
4341,3.9
4710,4.0
5008,4.4
913,4.1
2329,4.8
1817,4.5
1654,4.7
1867,4.7
3549,4.0
3005,3.4
1067,4.6
552,4.6
3494,3.9
8450,4.9
4389,4.6
8260,4.4
2298,3.4
1074,3.7
3166,4.5
9181,4.4
5209,4.3
2961,4.1
8014,3.9
4566,4.5
910,4.2
8532,4.2
3526,3.8
5729,4.6
6911,3.9
9141,4.0
3341,4.4
8956,4.8
5212,4.6
827,4.2
4024,3.7
5986,5.0
4348,5.0
957,4.2
7393,4.0
2404,4.5
3898,4.1
1244,4.6
2642,4.6
2455,4.2
1143,3.7
2525,4.2
9129,4.2
498,3.0
600,3.0
7755,4.0
9088,4.3
4879,5.0
3964,4.9
7716,3.8
4333,4.5
5395,4.3
1415,4.5
1874,4.3
3567,4.1
1969,4.5
8798,4.2
6757,4.3
6209,3.9
5325,3.9
4250,4.6
5424,4.0
2587,4.1
1943,4.5
3474,4.8
4638,4.6
783,4.1
4472,4.2
741,4.5
416,4.2
3019,3.5
4161,4.0
9024,5.0
4098,4.1
1580,4.6
578,3.9
3404,4.6
7711,4.3
245,4.0
7991,4.4
7052,4.3
4846,4.3
8448,4.3
5984,4.5
361,4.4
3842,4.2
1379,4.4
790,4.4
9046,3.9
5907,4.4
9358,4.5
8432,4.1
8660,3.8
8201,4.2
5440,4.2
4899,4.0
3264,4.2
4924,3.3
3319,4.2
7490,4.5
9334,4.1
4631,4.3
3596,4.5
1145,3.6
256,4.4
6617,4.6
274,4.4
595,5.0
9119,4.2
5861,4.4
6326,4.2
4077,4.0
8273,2.9
276,4.5
8347,5.0
5314,4.5
2072,4.1
4236,4.6
1857,4.6
6006,4.0
1509,4.2
287,4.7
9348,4.0
2313,2.3
3352,4.0
800,4.7
2739,4.2
3084,4.2
1513,3.7
6108,5.0
4185,4.3
6312,4.7
7417,5.0
4439,3.9
5791,4.0
3212,4.6
8728,4.4
230,3.8
8904,4.5
7200,4.7
915,4.5
1098,4.5
446,4.6
1985,4.5
684,4.7
8180,4.7
4831,2.8
6097,3.6
7244,5.0
1642,4.4
8783,4.2
4413,4.4
2259,4.1
691,4.5
8908,4.4
1129,4.3
1222,4.2
5487,4.5
4337,4.4
1218,4.2
8713,4.3
3262,4.3
2616,4.1
3020,4.3
5867,4.3
4268,3.8
3184,4.1
6083,3.8
4206,3.7
4590,4.4
3795,4.5
1836,4.3
6420,3.4
8596,4.4
5175,4.7
3508,4.5
7014,4.5
8063,4.4
5287,3.4
6452,4.8
7178,4.7
1966,4.5
4897,4.0
1989,4.5
7353,4.3
2314,4.5
6088,4.1
3490,4.5
2017,4.2
5375,2.7
4708,4.2
2041,4.1
8924,3.8
2769,4.4
487,4.4
5879,4.7
5488,4.3
4025,3.8
3765,3.7
1291,4.5
5512,4.4
8644,3.9
4012,4.3
2429,4.3
711,4.7
56,4.0
8990,4.6
4412,4.4
6211,3.6
998,4.7
8226,4.6
2258,4.5
1987,4.6
5117,4.3
7267,4.2
7579,3.3
257,4.4
1439,4.4
7817,4.3
2218,4.4
3522,4.4
1233,4.5
768,3.9
5396,1.7
4048,3.1
2535,4.2
125,4.3
5390,4.3
5413,3.8
1568,4.5
4600,4.6
3969,3.8
1913,4.6
5198,4.5
8290,5.0
3357,4.2
6247,4.1
5282,4.3
2352,5.0
1339,4.4
2282,4.5
2612,4.4
89,3.7
1747,4.4
2512,4.2
3755,4.5
1134,4.1
7103,4.2
